event_time,user_id,session_id,event_type,channel,premium_amount
2025-10-01 14:39:08,610,s_1,purchase,Google Ads,42456912
2025-10-13 20:40:27,4588,s_2,policy_click,Organic,39564130
2025-10-16 14:18:47,4425,s_3,quote_view,Referral,44171778
2025-10-24 04:47:58,3398,s_4,purchase,Social,16787242
2025-10-01 07:57:49,4541,s_5,quote_view,Referral,16190102
2025-10-28 14:43:55,4538,s_6,quote_view,SMS,38622818
2025-10-23 19:03:07,4891,s_7,policy_click,Google Ads,6284558
2025-10-03 16:54:30,1832,s_8,quote_view,Google Ads,22764551
2025-10-22 15:19:23,4987,s_9,policy_click,Organic,5249823
2025-10-22 14:48:11,1155,s_10,purchase,Social,24992865
2025-10-25 13:41:33,1752,s_11,signup,SMS,7178925
2025-10-14 21:52:14,3599,s_12,quote_view,SMS,12057282
2025-10-01 00:59:59,2486,s_13,signup,Social,14641692
2025-10-14 14:58:09,3339,s_14,signup,Organic,34358089
2025-10-10 10:02:05,2334,s_15,policy_click,SMS,16068753
2025-10-16 07:30:38,4387,s_16,quote_view,Organic,16828698
2025-10-28 08:12:31,4464,s_17,quote_view,Social,14289906
2025-10-08 11:17:32,4582,s_18,purchase,Social,32971154
2025-10-20 03:50:43,168,s_19,signup,Social,14960800
2025-10-14 08:23:13,3543,s_20,signup,SMS,40361387
2025-10-25 07:49:54,4010,s_21,policy_click,Social,23701498
2025-10-18 18:14:46,78,s_22,quote_view,SMS,8473921
2025-10-19 07:29:45,2899,s_23,quote_view,Organic,43990593
2025-10-17 02:18:08,1109,s_24,signup,Referral,38005205
2025-10-30 12:19:46,892,s_25,purchase,Organic,45930208
2025-10-07 00:48:35,4757,s_26,signup,SMS,5351723
2025-10-17 23:43:56,1225,s_27,quote_view,Google Ads,19121284
2025-10-22 04:01:58,4685,s_28,policy_click,Google Ads,10504441
2025-10-24 00:23:59,565,s_29,policy_click,Referral,11559373
2025-10-26 03:02:52,2860,s_30,policy_click,Social,13986215
2025-10-21 16:25:37,302,s_31,quote_view,Organic,27615146
2025-10-07 09:16:04,4390,s_32,quote_view,Organic,49528177
2025-10-21 16:57:13,109,s_33,policy_click,SMS,44802569
2025-10-14 12:42:11,2413,s_34,quote_view,Referral,46304232
2025-10-02 15:24:28,2648,s_35,purchase,Social,21932494
2025-10-13 04:20:57,2726,s_36,policy_click,Referral,38336265
2025-10-27 22:55:41,3339,s_37,purchase,Google Ads,13351043
2025-10-27 04:28:56,2141,s_38,purchase,Referral,45264496
2025-10-25 14:20:58,4524,s_39,quote_view,Social,15164732
2025-10-09 15:48:38,4734,s_40,quote_view,Social,19519120
2025-10-24 09:58:26,3814,s_41,policy_click,Organic,9078686
2025-10-28 23:51:38,4201,s_42,quote_view,Organic,46483255
2025-10-26 16:20:01,2257,s_43,purchase,Social,27629771
2025-10-05 05:41:14,3646,s_44,quote_view,Organic,15304438
2025-10-21 03:40:18,3060,s_45,policy_click,Organic,37476116
